Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
0,6_obj3_f10,4,7,1.0,0.9392815232276917,0.5775342310362901,4.187694770728099,[0.49656662 0.13371514 0.19837207],[ 0.49628192 -0.20480821  0.18525428],[-0.00077087  0.00561009  0.75213826  0.65898103],[ 0.72483969 -0.0016555  -0.0021591   0.68891221],[0.52614588 0.18500729 0.25914788],[0.49702144 0.76178116 0.25372005],"[ 0.05435517  0.98244333  0.02139783 -1.73241564  1.64844979 -1.56823961
  1.1448883 ]"
1,6_obj3_f10,7,7,1.0,0.9369893670082092,0.615846334301161,4.184419877197574,[0.49029967 0.13528734 0.19842318],[ 0.50416881 -0.20120826  0.18408655],[-0.00220999  0.00878062  0.7551685   0.65546817],[ 0.72175372  0.00298832 -0.00248769  0.69213903],[0.51992577 0.18697448 0.25921294],[0.49733856 0.80238682 0.25429586],"[ 0.05709968  0.9977207   0.01412329 -1.70861947  1.64077778 -1.5698455
  1.12925542]"
2,6_obj3_f10,6,7,1.0,0.7463709115982056,0.005281259374538497,4.230368419572912,[0.50426459 0.11827098 0.19883326],[ 0.52580988 -0.38411838  0.16660795],[0.00315285 0.00889854 0.76440889 0.64466268],[ 0.72034091 -0.01318759 -0.00629148  0.69346625],[0.5338378  0.16894779 0.25910878],[0.53477937 0.16404217 0.25739411],"[-0.21251788  1.09656131 -0.08482662 -1.53100313  1.43122047 -1.36247095
  1.08304592]"
3,6_obj3_f10,9,7,1.0,0.931344747543335,0.5453868706516145,4.196442087243451,[0.50558835 0.14853151 0.19804591],[ 0.52122158 -0.18721594  0.18929574],[-0.00247432  0.00940499  0.75373864  0.65710229],[ 7.24337816e-01  1.42564633e-04 -3.27394716e-03  6.89437449e-01],[0.53530222 0.20040976 0.2590076 ],[0.53977519 0.74575496 0.25396362],"[ 0.07668046  1.00296158  0.03222312 -1.65238541  1.66642574 -1.5963718
  1.08438786]"
4,6_obj3_f10,1,7,1.0,0.9044715762138367,0.49714874679407844,4.209126174754011,[0.54748708 0.10992424 0.19871655],[ 0.58381295 -0.22419387  0.19216962],[6.54669013e-04 4.91432194e-03 7.58233011e-01 6.51964843e-01],[ 0.72242373 -0.00581718 -0.01867601  0.69117391],[0.57682228 0.16077945 0.2598002 ],[0.5607754  0.65765065 0.25551283],"[ 0.02419597  1.09000145 -0.00818606 -1.41762121  1.64394535 -1.5622046
  0.91793998]"
5,6_obj3_f10,5,7,1.0,0.9340662956237793,0.5836236529657727,4.172498522720264,[0.50314826 0.10971086 0.19880491],[ 0.50115567 -0.22595444  0.18628542],[-0.00338452  0.00738727  0.75192565  0.65919787],[0.72204858 0.00313855 0.00200984 0.6918323 ],[0.53249168 0.16197866 0.25993392],[0.49119297 0.74411112 0.25420812],"[ 0.03348518  0.98548804 -0.00612831 -1.72881528  1.61102823 -1.53568165
  1.14194282]"
6,6_obj3_f10,10,7,1.0,0.3459981083869934,4.264103383564508e-05,4.624402636760358,[0.52494234 0.1116738  0.19884411],[ 0.53854388 -0.53270966  0.18632665],[-4.87510028e-04  7.31586991e-03  7.57429779e-01  6.52875423e-01],[0.70771158 0.00674188 0.00896969 0.70641232],[0.55480963 0.16199349 0.25873172],[0.55484569 0.16198012 0.2587133 ],"[-0.3536679   1.17269691 -0.24621033 -1.32415642  1.30322837 -1.11421072
  1.03560883]"
7,6_obj3_f10,3,7,1.0,0.7935349941253662,0.0001790939612003719,4.167426961206256,[0.48017815 0.24263896 0.19734573],[ 0.48364979 -0.26516473  0.17994021],[-4.21080855e-04  4.56461124e-03  7.49956906e-01  6.61470830e-01],[0.72066015 0.00203487 0.01399602 0.6931442 ],[0.50967574 0.29357478 0.25826743],[0.50968432 0.2937519  0.25824231],"[-0.03078969  0.98486109 -0.03980884 -1.78329863  1.52833459 -1.47600237
  1.21521862]"
8,6_obj3_f10,8,7,1.0,0.9320704936981201,0.6139503702245479,4.177664622910984,[0.49800333 0.11994818 0.19881094],[ 0.50892496 -0.21941602  0.1816849 ],[-0.00147445  0.00691565  0.74181879  0.6705631 ],[ 7.22323239e-01 -2.68072268e-04 -2.31000618e-03  6.91551685e-01],[0.52757627 0.17087024 0.25987941],[0.53845507 0.78470004 0.25443003],"[ 0.0363904   1.00643425  0.00573128 -1.69186342  1.62507633 -1.5535252
  1.12487734]"
9,6_obj3_f10,2,7,1.0,0.9393720626831055,0.5747658835740102,4.222720533912934,[0.51225704 0.17150244 0.19777453],[ 0.5081048  -0.15930019  0.18336153],[-1.34012123e-04  7.97901209e-03  7.48856723e-01  6.62683904e-01],[ 0.72607124 -0.00779196  0.00730836  0.68753648],[0.54198813 0.22329412 0.25849888],[0.49816808 0.79636008 0.2529276 ],"[ 0.1009907   1.00299166  0.06175501 -1.68334336  1.69157411 -1.62634734
  1.14646638]"
