Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
0,6_obj1_f09,11,7,0.9,0.9272521138191223,0.6986180215553919,4.178814700959058,[0.46084455 0.14873058 0.22951114],[ 0.46880978 -0.20387302  0.20731939],[-0.00129192 -0.00873168 -0.70612758  0.70802957],[0.70983559 0.00420228 0.00773271 0.70431244],[0.48980725 0.25130337 0.29163027],[0.47686839 0.94975531 0.28359169],"[ 0.1074076   0.92098433 -0.03462692 -1.84439654  1.64713258 -1.56176202
  1.19931472]"
1,6_obj1_f09,3,7,0.9,0.9309183955192566,0.6873688779844616,4.166619935493597,[0.500054   0.13665482 0.22992662],[ 0.51094365 -0.21327937  0.21820563],[ 0.00235675 -0.00782092 -0.69719648  0.71683353],[0.71326536 0.00576607 0.00211438 0.70086718],[0.5293076  0.23835413 0.29134595],[0.50681221 0.92531997 0.2844272 ],"[ 0.08271218  0.93835325 -0.04973501 -1.72000832  1.63444924 -1.53913263
  1.08083148]"
2,6_obj1_f09,6,7,0.9,0.9248293042182922,0.651702059873597,4.17050812327562,[0.49204662 0.1024274  0.23038656],[ 0.52515548 -0.24973108  0.22621933],[-0.00198225 -0.00944925 -0.69950134  0.71456605],[ 0.70940107  0.00287772 -0.00892011  0.70474267],[0.52117294 0.20470349 0.29183424],[0.47896922 0.85499996 0.28483933],"[ 0.05052711  0.95019048 -0.09011646 -1.66613899  1.61382717 -1.50351617
  1.0264826 ]"
3,6_obj1_f09,1,7,0.9,0.9316117763519287,0.5290525327965722,4.168510300388769,[0.53586459 0.15338907 0.2300207 ],[ 0.52588427 -0.20060466  0.23581454],[-7.13178306e-04 -5.14505617e-03 -6.99042976e-01  7.15060830e-01],[0.71435183 0.00307417 0.00415734 0.69976759],[0.56580549 0.25362006 0.29028514],[0.53388405 0.7816841  0.28518897],"[ 0.10293994  0.918105   -0.04753105 -1.68034467  1.65539144 -1.55383038
  1.02803647]"
4,6_obj1_f09,5,7,0.9,0.8888539671897888,0.0033151497635231083,4.174833619706096,[0.49168947 0.11980394 0.22991326],[ 0.50954902 -0.27215642  0.21263379],[ 0.00207426 -0.00652217 -0.69838351  0.71569097],[ 0.70964539  0.00108911 -0.00118747  0.70455718],[0.52111953 0.22088446 0.29113841],[0.51960588 0.22331592 0.29280785],"[ 0.00846841  0.95998387 -0.09177268 -1.70852042  1.56894088 -1.47602705
  1.09415554]"
5,6_obj1_f09,13,7,0.9,0.9265809059143066,0.6898854778830913,4.166570266662528,[0.48561904 0.12385864 0.23001406],[ 0.49993825 -0.22888403  0.21108438],[-0.00165728 -0.00872875 -0.70451522  0.70963323],[0.71061653 0.00292878 0.00346292 0.70356488],[0.51550889 0.22503649 0.29116884],[0.49118441 0.91446203 0.28463331],"[ 0.07043297  0.94522596 -0.05949293 -1.74911452  1.61895412 -1.52876034
  1.12256343]"
6,6_obj1_f09,7,7,0.9,0.9337918758392334,0.6874550793708646,4.1729992738323585,[0.47468767 0.13223231 0.22973284],[ 0.47857955 -0.22120717  0.20947292],[ 0.00101048 -0.00836346 -0.6974557   0.71657836],[0.71142197 0.00405681 0.00610385 0.7027269 ],[0.50380975 0.23451756 0.29147106],[0.5105114  0.92190659 0.28469655],"[ 0.08574851  0.92399063 -0.05515859 -1.81740998  1.62718728 -1.53308605
  1.17235824]"
7,6_obj1_f09,2,7,0.9,0.9309643507003784,0.7010285760605217,4.167402634605627,[0.4824585  0.11484125 0.22997701],[ 0.49807796 -0.23877133  0.21411063],[ 0.00075624 -0.00833259 -0.69215673  0.72169876],[7.10249305e-01 5.06957644e-04 7.45581789e-03 7.03910589e-01],[0.51150054 0.21702275 0.29159355],[0.47580126 0.91710407 0.28432903],"[ 0.06310306  0.93728461 -0.07491087 -1.7594475   1.60559046 -1.51070173
  1.13307365]"
8,6_obj1_f09,12,7,0.9,0.9314375519752502,0.7205350267428265,4.167774810898999,[0.48528519 0.14477083 0.22975317],[ 0.51148117 -0.21069826  0.21841718],[ 0.00134295 -0.00633998 -0.69980174  0.71430767],[ 0.71043253  0.00352428 -0.00158132  0.70375472],[0.51479524 0.24574253 0.29034004],[0.46051174 0.96420026 0.28381941],"[ 0.09406682  0.94368305 -0.04603902 -1.71240391  1.64688024 -1.55824639
  1.07577527]"
9,6_obj1_f09,8,7,0.9,0.8761579394340515,0.0036849857890883537,4.187245612411727,[0.49232432 0.1206898  0.2299259 ],[ 0.52673459 -0.27913663  0.22849056],[ 0.00249576 -0.00629818 -0.70149517  0.71264201],[ 0.71343273 -0.00604731 -0.01716574  0.70048738],[0.52178544 0.22162963 0.2910912 ],[0.52013695 0.22413701 0.29323006],"[ 0.00257271  0.95178894 -0.10169484 -1.63878122  1.60269785 -1.4712179
  0.99999201]"
