Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
0,7_obj2_f07,11,7,0.7,0.9040404558181763,0.002705400661618393,4.169887225351951,[0.51719177 0.24406533 0.22709823],[0.54269063 0.13499784 0.22301842],[-1.53102083e-04 -1.65608979e-03  8.67647864e-03  9.99960959e-01],[-0.68818593 -0.0063856   0.01084547  0.72542524],[0.5158993  0.35552847 0.32852396],[0.51432043 0.35734481 0.32975981],"[-0.31639085  1.03524403  0.22253945 -1.55963805 -1.83233018 -1.57453331
 -0.97934373]"
1,7_obj2_f07,7,7,0.7,0.5134021639823914,7.882784692597554e-05,4.208429330019377,[0.48066342 0.26156813 0.22687766],[ 0.46905604 -0.02624461  0.24272279],[-5.87580318e-04 -1.96663756e-03 -8.95615388e-03  9.99957800e-01],[-0.69266456 -0.01168534  0.01620281  0.72098315],[0.4794974  0.37288943 0.3282696 ],[0.47942451 0.37291461 0.3282533 ],"[-0.52332659  0.95766283  0.04797735 -1.61746548 -2.03231266 -1.8531032
 -1.04305079]"
2,7_obj2_f07,5,7,0.7,0.0008965868619270623,0.00020616693911818041,4.428046165950487,[0.48540178 0.24724983 0.22702506],[ 0.4810026  -0.09557158  0.23798798],[-7.89199723e-04 -6.53760391e-04  1.37433968e-02  9.99905050e-01],[-0.71225792  0.00398591 -0.00516231  0.70188755],[0.48538965 0.35730398 0.32701728],[0.48531666 0.35749647 0.32700613],"[-0.56360354  0.99377957 -0.05175364 -1.49311794 -2.03649468 -1.92900547
 -1.02031192]"
3,7_obj2_f07,6,7,0.7,0.0005013812333345413,0.005580717054904813,4.411444681545624,[0.45284513 0.2465684  0.22629064],[ 0.44180101 -0.08851254  0.23099506],[-7.81503564e-04 -6.93580136e-04  3.96388437e-04  9.99999404e-01],[-0.71309865  0.01466697 -0.00992123  0.70084006],[0.45284399 0.35653448 0.32638162],[0.44950679 0.35975385 0.32948697],"[-0.56694732  0.95093584 -0.09131428 -1.62966775 -2.06030302 -1.90964316
 -1.11448768]"
4,7_obj2_f07,1,7,0.7,0.39603927731513977,6.546527674716776e-05,4.323909122275403,[0.50177908 0.23690064 0.22714743],[ 0.50008786 -0.07391121  0.2418423 ],[-1.13058160e-03 -9.42982384e-04  2.10341625e-02  9.99777675e-01],[-0.68880284 -0.00655373  0.01323186  0.72479832],[0.501782   0.34735125 0.32705367],[0.50183427 0.34731203 0.32705754],"[-0.55703295  1.03367122  0.03507807 -1.44617884 -2.02177335 -1.9309148
 -0.959095  ]"
5,7_obj2_f07,4,7,0.7,0.0008752737776376307,5.10107993004028e-05,4.443040984982784,[0.49818233 0.24657299 0.22704256],[ 0.49741739 -0.1002147   0.23877285],[-6.60587801e-04 -1.03330391e-03  3.72411613e-03  9.99992311e-01],[-0.71074086  0.00836046  0.00402035  0.70339274],[0.49817151 0.35659805 0.3270269 ],[0.49814123 0.35661995 0.32706162],"[-0.56463364  1.02128019 -0.03629429 -1.42814804 -2.02626907 -1.93956123
 -0.9595492 ]"
6,7_obj2_f07,3,7,0.7,0.6217300295829773,7.381416202633759e-05,4.193793143572699,[0.4789007  0.24343453 0.22708955],[ 0.47610527 -0.02232436  0.2369566 ],[-3.55040684e-05 -1.86998316e-03  4.81170975e-03  9.99986649e-01],[-0.69254702 -0.01608786  0.01579212  0.7210204 ],[0.47768396 0.3547917  0.32842526],[0.47768056 0.35472172 0.32840201],"[-0.51704992  0.97709693  0.06767282 -1.59868014 -2.0310525  -1.83593676
 -1.0446535 ]"
7,7_obj2_f07,2,7,0.7,0.6623384952545166,0.00010732191193676216,4.18081955044371,[0.48535314 0.23283236 0.22716209],[ 0.48591268 -0.01740295  0.232154  ],[ 4.64656296e-05 -2.12832284e-03  1.54203307e-02  9.99878824e-01],[-0.68764102 -0.02031183  0.00888583  0.72571224],[0.48414719 0.34410387 0.32850787],[0.48412403 0.34420779 0.32852137],"[-0.51763588  1.00219944  0.09093756 -1.57403195 -2.01841892 -1.82657318
 -1.04705795]"
8,7_obj2_f07,10,7,0.7,1.0447254180908203,0.5214635410705416,4.34554667818419,[0.47910407 0.23433377 0.22719997],[0.48579243 0.24792345 0.22786695],[-1.93465487e-04 -6.12049655e-04  3.74813657e-03  9.99992788e-01],[-7.02306211e-01  2.55097111e-04 -1.59303460e-03  7.11873174e-01],[0.47893801 0.34474963 0.32725719],[0.46457714 0.86599976 0.3232207 ],"[-0.21037228  0.93903617  0.33478232 -1.79781062 -1.68321478 -1.3370596
 -1.13029457]"
9,7_obj2_f07,8,7,0.7,0.03104516863822937,0.00011572032635415104,4.433989979316946,[0.51465118 0.25968379 0.22694343],[ 0.5275228  -0.09505212  0.2254629 ],[-4.92882973e-04 -1.14274374e-03  5.59015665e-03  9.99983609e-01],[-0.69132251  0.00190757  0.01548001  0.72237796],[0.51462406 0.36985469 0.32692769],[0.51459062 0.36996543 0.32693061],"[-5.47991687e-01  1.11646945e+00 -1.61403544e-03 -1.30365351e+00
 -1.98791149e+00 -1.97039221e+00 -8.98322399e-01]"
10,7_obj2_f07,9,7,0.7,0.10202747583389282,8.78755929280996e-05,4.4044661294365275,[0.49266136 0.25009143 0.22693783],[ 0.48646858 -0.08586998  0.24025942],[-6.93779963e-04 -1.37295783e-03  1.15403226e-02  9.99932230e-01],[-0.7082839   0.00371361 -0.00626081  0.70589018],[0.49274331 0.3603456  0.32686666],[0.49268672 0.36039573 0.32682186],"[-0.55120663  0.99242571 -0.04018724 -1.49782121 -2.01810206 -1.92280549
 -1.0133519 ]"
