Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
0,7_obj1_f08,11,7,0.8,0.9036744236946106,0.460889139532647,4.1491039212014265,[0.50155294 0.13737133 0.23010233],[0.52716023 0.12854154 0.21496604],[ 0.00181368 -0.00643602 -0.69820124  0.71587032],[-0.69881743 -0.00675616  0.01848138  0.71502936],[0.50059938 0.2396341  0.29149631],[0.41779792 0.69299591 0.28641823],"[-0.28665733  1.01471229  0.15591543 -1.59726175 -1.8299456  -1.59961623
 -1.00375775]"
1,7_obj1_f08,3,7,0.8,0.8730379939079285,0.40371460415816685,4.136165540147001,[0.49615061 0.09525914 0.23045179],[0.51097292 0.08477581 0.20501074],[-7.01729034e-04 -6.27142051e-03 -7.01783001e-01  7.12362826e-01],[-0.6986872  -0.01346898  0.01636167  0.71511334],[0.49620843 0.19622616 0.29063994],[0.40935129 0.59047377 0.28745502],"[-0.34288677  1.02735385  0.11559822 -1.60338113 -1.88987258 -1.66390159
 -1.04819142]"
2,7_obj1_f08,6,7,0.8,0.8683846592903137,0.002816810811036621,4.142808374059395,[0.51507783 0.14486259 0.22994074],[0.53581041 0.09802864 0.21371253],[-7.50601394e-05 -5.44986036e-03 -7.12088168e-01  7.02068865e-01],[-0.69830233 -0.01590664  0.01911581  0.71537083],[0.51532441 0.24472947 0.28934702],[0.51406157 0.24637003 0.29125705],"[-0.32451172  1.04076246  0.14343577 -1.5337314  -1.8733842  -1.6502325
 -0.98289088]"
3,7_obj1_f08,1,7,0.8,0.7171595692634583,4.841736512416321e-05,4.15851400908791,[0.48430648 0.16743016 0.22962919],[ 0.48983613 -0.00530604  0.21305101],[ 1.10059322e-04 -6.96878321e-03 -7.10604370e-01  7.03557312e-01],[-0.68687487 -0.03322857  0.00910637  0.72595859],[0.48325983 0.26865542 0.29108125],[0.48324355 0.26867327 0.29103929],"[-0.48722519  1.04458908  0.08723857 -1.55119547 -2.01709414 -1.81481935
 -1.08150331]"
4,7_obj1_f08,5,7,0.8,0.882821798324585,0.43260714756295543,4.141459238952173,[0.50042784 0.13021779 0.23026657],[0.52558047 0.10346431 0.21221396],[ 0.00168939 -0.00573131 -0.70368874  0.71048325],[-0.69853711 -0.01028648  0.01882909  0.7152521 ],[0.49954864 0.23168284 0.29142755],[0.39992303 0.65263575 0.28670284],"[-0.31837376  1.02575462  0.13836261 -1.57850943 -1.86245631 -1.63871956
 -1.00524577]"
5,7_obj1_f08,7,7,0.8,0.8719660639762878,0.0027013507815094066,4.141741674131309,[0.49854702 0.1479212  0.22991776],[0.5242154  0.09819595 0.21310012],[-0.00110802 -0.00576022 -0.7078498   0.70633858],[-0.69629866 -0.01139688  0.01570705  0.71748978],[0.49880883 0.24779038 0.28948516],[0.49756971 0.24935015 0.29130971],"[-0.32881423  1.02615387  0.13840294 -1.58059613 -1.86692461 -1.64736042
 -1.01496702]"
6,7_obj1_f08,2,7,0.8,0.8736927509307861,0.4590022792378243,4.142614015791213,[0.5121581  0.0948446  0.23060149],[0.52633262 0.08518016 0.20749693],[-6.50340866e-04 -6.55200472e-03 -6.88905180e-01  7.24821568e-01],[-0.70044935 -0.01289137  0.01633889  0.71339858],[0.51215649 0.19571342 0.29065287],[0.53190017 0.65427512 0.28685242],"[-0.33334098  1.03812413  0.11605589 -1.55670947 -1.88179041 -1.66409016
 -1.01207966]"
7,7_obj1_f08,12,7,0.8,0.8624919652938843,3.0268788556254517e-05,4.146067869024049,[0.51371711 0.16310781 0.22991741],[0.53785807 0.10024453 0.21560425],[ 6.98686868e-04 -5.94564667e-03 -7.19933093e-01  6.94017649e-01],[-0.69724005 -0.01210846  0.01820624  0.71650422],[0.51270235 0.2646527  0.29126266],[0.51271743 0.26462671 0.29125899],"[-0.32216023  1.03857199  0.14565573 -1.53484809 -1.86460312 -1.64671825
 -0.97690278]"
8,7_obj1_f08,8,7,0.8,0.0007267291657626629,1.887647787106325e-05,4.765193206967539,[0.50522912 0.14897454 0.22999397],[ 0.51224524 -0.18464719  0.23137391],[-6.23326458e-04 -5.56640560e-03 -7.12486386e-01  7.01663554e-01],[-0.72430754  0.025001   -0.02270288  0.68864948],[0.50520617 0.24899077 0.28998148],[0.50521123 0.24899118 0.28999966],"[-0.67218786  1.10699706 -0.04063635 -1.22591035 -2.04535457 -1.99011075
 -0.89100771]"
9,7_obj1_f08,9,7,0.8,0.8683115839958191,0.0030976984062779257,4.145183318600625,[0.51775342 0.14818919 0.22991362],[0.54015416 0.09743885 0.2143214 ],[ 0.00081703 -0.00552037 -0.71740466  0.69663435],[-0.69883895 -0.01441805  0.02042421  0.71484202],[0.51820016 0.24782912 0.28912368],[0.51681334 0.24969006 0.29117537],"[-0.32745217  1.04620498  0.13920786 -1.515302   -1.87790522 -1.65976002
 -0.96898948]"
10,7_obj1_f08,4,7,0.8,0.0009058681898750365,6.75978494290204e-05,4.830943903664553,[0.50333679 0.12528181 0.2301704 ],[ 0.50540316 -0.19951297  0.2309542 ],[-0.00100074 -0.00584915 -0.69990861  0.71420777],[-0.7279197   0.03354299 -0.03228473  0.68408   ],[0.50334138 0.22531654 0.29020208],[0.50335246 0.2252885  0.29014158],"[-0.69389813  1.10251382 -0.05402884 -1.22891701 -2.04747808 -1.99053332
 -0.90018912]"
11,7_obj1_f08,10,7,0.8,0.09961158782243729,0.00017387905958360275,4.770117731000469,[0.5330376 0.146063  0.2301777],[ 0.53201246 -0.17663714  0.23532203],[-2.50722718e-04 -4.92048403e-03 -7.07145989e-01  7.07050383e-01],[-0.71643966  0.02290015 -0.02868143  0.69668293],[0.5331831  0.24638151 0.29007658],[0.53303796 0.24647598 0.2900922 ],"[-0.65228728  1.1272462  -0.02412083 -1.18653456 -2.00140487 -1.98984998
 -0.85901941]"
