Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
0,6_obj2_f07,7,7,0.7,0.8727821707725525,0.0033535915275260575,4.1866711751138705,[0.48023829 0.09337346 0.20860052],[ 0.49517748 -0.30628735  0.19272268],[-1.03958172e-03 -4.09323693e-04  1.51104508e-02  9.99885201e-01],[0.70841104 0.00344642 0.00288569 0.70578575],[0.50947893 0.20421772 0.32979795],[0.50787061 0.20656551 0.33157215],"[-0.04998177  0.99462703 -0.10542385 -1.73254429  1.50158819 -1.43870452
  1.16137212]"
1,6_obj2_f07,5,7,0.7,0.8776664137840271,7.733187131154172e-05,4.18313476872159,[0.47311082 0.12677614 0.20814732],[ 0.4747957  -0.27610099  0.20647882],[-0.00149696 -0.0014712   0.01994075  0.99979895],[0.70926827 0.01126905 0.00973694 0.70478135],[0.50227952 0.23759571 0.32939065],[0.50228649 0.23765369 0.32933995],"[ 0.00606725  0.93410885 -0.11279678 -1.83037865  1.52238207 -1.44680274
  1.19526794]"
2,6_obj2_f07,6,7,0.7,0.0008095896919257939,6.322020427767512e-05,4.8725756692371975,[0.47566172 0.077848   0.20896059],[ 0.47493771 -0.58304369  0.21494751],[-5.00492752e-04  8.49052565e-04  2.37938557e-02  9.99716401e-01],[0.70665765 0.00871286 0.0103924  0.70742565],[0.50577152 0.18769845 0.32886583],[0.50577927 0.1876855  0.32880443],"[-0.40772287  1.09503698 -0.3534843  -1.44742982  1.19304876 -1.00464339
  1.1568639 ]"
3,6_obj2_f07,1,7,0.7,0.05321639031171799,7.844151428736438e-05,4.651845897700496,[0.49295619 0.13018273 0.208076  ],[ 0.48471862 -0.51135153  0.22079049],[-1.04532973e-03 -5.72355639e-04  9.66592133e-03  9.99952555e-01],[0.7162931  0.01448088 0.0126723  0.69753414],[0.52297896 0.24044149 0.32801458],[0.52303088 0.2404784  0.32806036],"[-0.29321755  1.01803324 -0.33279096 -1.57762829  1.26004643 -1.05866516
  1.14646315]"
4,6_obj2_f07,4,7,0.7,0.9388459324836731,0.418478746432432,4.170438664741019,[0.47975186 0.06401215 0.20911801],[ 0.50844204 -0.25949207  0.19364579],[-0.00162229 -0.0010111   0.00893158  0.99995828],[ 0.70961672  0.00626464 -0.01082314  0.70447689],[0.5090127  0.17565322 0.33040872],[0.47429252 0.59266353 0.32578555],"[ 0.01918872  1.00057492 -0.07227464 -1.6953745   1.58578706 -1.50324545
  1.10082907]"
5,6_obj2_f07,3,7,0.7,0.9433991312980652,0.42568185562435085,4.16649783507318,[0.48168251 0.07705124 0.20881972],[ 0.49729565 -0.24341992  0.19139941],[-1.24374963e-03 -3.27039394e-04  8.54445715e-03  9.99962687e-01],[0.71258557 0.00365252 0.00326943 0.70156813],[0.51112998 0.18782286 0.3297244 ],[0.49327025 0.61309141 0.32400283],"[ 0.02854343  0.98564084 -0.05525429 -1.74137936  1.58397533 -1.50938281
  1.15466803]"
6,6_obj2_f07,2,7,0.7,0.8839190006256104,0.003579034123436965,4.180719275304806,[0.48895893 0.09474723 0.2085149 ],[ 0.50285172 -0.30091393  0.18631394],[-6.67061540e-04 -3.24975816e-04  3.77144152e-03  9.99992609e-01],[ 0.71073383 -0.00156498  0.00315248  0.70345223],[0.51822317 0.20576081 0.329647  ],[0.51652223 0.20824431 0.33158311],"[-0.0576295   1.01446014 -0.09175866 -1.69849723  1.50876943 -1.44495382
  1.15406486]"
7,6_obj2_f07,10,7,0.7,0.8657511472702026,0.0034388034975135475,4.182490034087466,[0.48276362 0.09931329 0.2085053 ],[ 0.49593204 -0.30716908  0.17948805],[-1.27104612e-03 -8.73403449e-04  2.27592723e-03  9.99996245e-01],[ 7.08576322e-01 -3.87804001e-03  6.12288422e-04  7.05623269e-01],[0.51201767 0.21028382 0.32959449],[0.5103839  0.21267013 0.33145505],"[-0.06625982  1.02696472 -0.08637906 -1.70738228  1.5039674  -1.45540885
  1.1749711 ]"
8,6_obj2_f07,8,7,0.7,0.8655111193656921,0.0034648415818712957,4.182732209920492,[0.47995588 0.11336398 0.2083163 ],[ 0.49728993 -0.29827401  0.19519302],[-8.28700780e-04 -7.75214517e-04  1.61578041e-02  9.99868810e-01],[0.70969844 0.00263997 0.00192835 0.70449805],[0.50917161 0.22418337 0.32948232],[0.50751871 0.22659834 0.3313373 ],"[-0.05206786  0.99046844 -0.1049123  -1.72508573  1.50389012 -1.43643219
  1.15042399]"
9,6_obj2_f07,9,7,0.7,0.8436468839645386,0.003747252786568976,4.193926546610805,[0.49074921 0.09833758 0.20816869],[ 0.50948662 -0.32220981  0.19094232],[-1.40065479e-03 -4.84245800e-04  1.50441285e-02  9.99885738e-01],[ 7.11851716e-01 -1.03875145e-03  4.72694315e-04  7.02328861e-01],[0.52005082 0.20883656 0.32935756],[0.51836038 0.21167214 0.33113062],"[-0.08194969  1.01368255 -0.10198144 -1.67217232  1.49372999 -1.42116159
  1.12433811]"
