Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
0,7_obj3_f09,4,7,0.9,0.6018111109733582,0.00252920266441762,4.165832616979255,[0.47652003 0.26073128 0.2070971 ],[ 0.47197649 -0.00878713  0.21885161],[-0.0025262   0.00314134  0.75784284  0.65242469],[-0.69387549 -0.01443108  0.01732026  0.719742  ],[0.47412324 0.31397173 0.25963405],[0.47548053 0.31216791 0.25849348],"[-0.50389435  1.00171714  0.07345623 -1.6183698  -2.02994918 -1.80098339
 -1.07606931]"
1,7_obj3_f09,11,7,0.9,0.6103227138519287,0.0024544256404384944,4.161647035506501,[0.47998831 0.2589055  0.20717575],[ 0.47536117 -0.00862786  0.21862234],[-0.00221909  0.00293307  0.75999254  0.64992142],[-0.69226408 -0.01448921  0.01731594  0.72129101],[0.47758746 0.31213886 0.25976741],[0.47889745 0.31042728 0.25859326],"[-0.50900305  1.00857541  0.08536759 -1.60736187 -2.03154347 -1.79861944
 -1.06768562]"
2,7_obj3_f09,7,7,0.9,0.6073722839355469,0.003290217589005112,4.16026497201553,[0.48063084 0.25950161 0.20712806],[ 0.47555763 -0.00742312  0.21722105],[-0.00261957  0.00252953  0.75743228  0.65290362],[-0.69202524 -0.01344676  0.01748608  0.72153622],[0.47816551 0.31293398 0.25977841],[0.47979453 0.31039113 0.25847238],"[-0.51065855  1.01155253  0.08222964 -1.60502142 -2.03120081 -1.80192427
 -1.06574124]"
3,7_obj3_f09,6,7,0.9,0.19003990292549133,9.29459568135415e-05,4.348668128991288,[0.47763532 0.2551364  0.20723601],[ 0.47105187 -0.0731699   0.22220962],[-0.00081286  0.00502754  0.7608375   0.64892244],[-0.70515925  0.0021011  -0.01147378  0.70895302],[0.477649   0.30559009 0.25719446],[0.47756338 0.30562159 0.25721222],"[-0.54399369  1.00345066 -0.03987409 -1.56030947 -2.02519748 -1.89840806
 -1.08745594]"
4,7_obj3_f09,9,7,0.9,0.5967752933502197,9.209238782856207e-05,4.16697023785352,[0.48188734 0.2602843  0.20714115],[ 0.47734937 -0.0105062   0.21803516],[-0.00203489  0.00367765  0.75297767  0.65803266],[-0.69373065 -0.01367511  0.0197142   0.7198348 ],[0.48067239 0.31196529 0.25861135],[0.48073694 0.31192246 0.25856155],"[-0.50757189  1.01179371  0.07419176 -1.5941126  -2.03306    -1.80972905
 -1.05657756]"
5,7_obj3_f09,1,7,0.9,0.6137481927871704,0.0030001458855931314,4.1609957491525025,[0.48286745 0.25885728 0.20724054],[ 0.47575685 -0.0077535   0.21404961],[-0.00234747  0.00304134  0.75941938  0.65059006],[-0.69198924 -0.0158977   0.01553714  0.72156549],[0.4804284  0.31228921 0.25981697],[0.48181266 0.30993158 0.25858155],"[-0.50472869  1.01848511  0.08184291 -1.60376571 -2.03131596 -1.79728715
 -1.07806264]"
6,7_obj3_f09,5,7,0.9,0.6107023358345032,0.002535540871363027,4.163785533929067,[0.4770278  0.25822687 0.20726158],[ 0.47319025 -0.0083135   0.21807873],[-0.00260297  0.00287147  0.7594263   0.65058184],[-0.69362789 -0.01557264  0.01671833  0.71997106],[0.47463679 0.31148571 0.25977001],[0.4759891  0.3096883  0.25859973],"[-0.50704153  1.00535411  0.07287841 -1.61111659 -2.03243768 -1.80557179
 -1.07484218]"
7,7_obj3_f09,10,7,0.9,0.6215110421180725,0.0005941942957322291,4.162170999342328,[0.48022893 0.25527027 0.20720641],[ 0.47737655 -0.00815374  0.21661006],[-0.00189903  0.00407524  0.76617259  0.64261913],[-0.69251257 -0.01379906  0.01888069  0.72102666],[0.47914472 0.3069112  0.2585727 ],[0.47928193 0.3063333  0.2585893 ],"[-0.50771007  1.01515439  0.07964201 -1.5965998  -2.03132468 -1.80510974
 -1.06096301]"
8,7_obj3_f09,3,7,0.9,0.1343265324831009,4.699923564807881e-05,4.350199376169164,[0.4748539  0.25778419 0.20716335],[ 0.46923289 -0.07835399  0.21856448],[-3.88292683e-05  4.51134890e-03  7.58051097e-01  6.52179539e-01],[-0.71014637  0.00196898 -0.0081415   0.70400429],[0.47488344 0.30814826 0.25705877],[0.4748475  0.30817628 0.25704727],"[-0.55457756  1.00726464 -0.04144295 -1.55026178 -2.04420782 -1.89051477
 -1.08471413]"
9,7_obj3_f09,8,7,0.9,0.6085609793663025,2.230834722182562e-05,4.162776948606172,[0.47779489 0.25947541 0.20545118],[ 0.4734759  -0.008578    0.21609701],[-0.00221947  0.004345    0.76193124  0.64763951],[-0.69286907 -0.01282571  0.01745568  0.72073799],[0.47631389 0.31098071 0.25854632],[0.47631311 0.31098545 0.25852454],"[-0.50982738  1.01062028  0.07568428 -1.60978664 -2.03231439 -1.80328316
 -1.07141032]"
10,7_obj3_f09,2,7,0.9,0.6209681034088135,0.0022700901860814326,4.159144670527694,[0.47531134 0.25206184 0.20723973],[ 0.47106794 -0.00830413  0.21191017],[-0.00120178  0.00365435  0.76160651  0.64802831],[-0.68971604 -0.01587329  0.00932544  0.72384584],[0.47423318 0.30357972 0.25866967],[0.47295606 0.30514255 0.25970882],"[-0.51264146  1.01923766  0.0834168  -1.62050408 -2.02847589 -1.79449147
 -1.10177823]"
