Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
11,7_obj1_f09,10,7,0.9,0.9920705556869507,0.5250607100797857,4.291791507621689,[0.51492047 0.25069332 0.22892419],[0.53589445 0.2390067  0.22294512],[-0.00191933 -0.00821756 -0.6947782   0.71917456],[-0.70128101 -0.00318664 -0.00192353  0.71287519],[0.51444888 0.35292831 0.28949583],[0.5660522  0.87542444 0.28463405],"[-0.17994589  1.00124059  0.28849037 -1.63112659 -1.70539001 -1.3817468
 -1.03772937]"
24,7_obj1_f08,11,7,0.8,0.9036744236946106,0.460889139532647,4.1491039212014265,[0.50155294 0.13737133 0.23010233],[0.52716023 0.12854154 0.21496604],[ 0.00181368 -0.00643602 -0.69820124  0.71587032],[-0.69881743 -0.00675616  0.01848138  0.71502936],[0.50059938 0.2396341  0.29149631],[0.41779792 0.69299591 0.28641823],"[-0.28665733  1.01471229  0.15591543 -1.59726175 -1.8299456  -1.59961623
 -1.00375775]"
25,7_obj1_f08,3,7,0.8,0.8730379939079285,0.40371460415816685,4.136165540147001,[0.49615061 0.09525914 0.23045179],[0.51097292 0.08477581 0.20501074],[-7.01729034e-04 -6.27142051e-03 -7.01783001e-01  7.12362826e-01],[-0.6986872  -0.01346898  0.01636167  0.71511334],[0.49620843 0.19622616 0.29063994],[0.40935129 0.59047377 0.28745502],"[-0.34288677  1.02735385  0.11559822 -1.60338113 -1.88987258 -1.66390159
 -1.04819142]"
28,7_obj1_f08,5,7,0.8,0.882821798324585,0.43260714756295543,4.141459238952173,[0.50042784 0.13021779 0.23026657],[0.52558047 0.10346431 0.21221396],[ 0.00168939 -0.00573131 -0.70368874  0.71048325],[-0.69853711 -0.01028648  0.01882909  0.7152521 ],[0.49954864 0.23168284 0.29142755],[0.39992303 0.65263575 0.28670284],"[-0.31837376  1.02575462  0.13836261 -1.57850943 -1.86245631 -1.63871956
 -1.00524577]"
30,7_obj1_f08,2,7,0.8,0.8736927509307861,0.4590022792378243,4.142614015791213,[0.5121581  0.0948446  0.23060149],[0.52633262 0.08518016 0.20749693],[-6.50340866e-04 -6.55200472e-03 -6.88905180e-01  7.24821568e-01],[-0.70044935 -0.01289137  0.01633889  0.71339858],[0.51215649 0.19571342 0.29065287],[0.53190017 0.65427512 0.28685242],"[-0.33334098  1.03812413  0.11605589 -1.55670947 -1.88179041 -1.66409016
 -1.01207966]"
42,7_obj1_f06,2,7,0.6,0.7277100682258606,0.30853085293187205,4.14581608969595,[0.50042868 0.10384447 0.23055089],[0.53272337 0.09713993 0.21448661],[-0.00123499 -0.00663734 -0.68712234  0.72651035],[-0.70190024 -0.00994544  0.02081478  0.71190161],[0.50062424 0.20440574 0.29035527],[0.48356479 0.5124613  0.28892994],"[-0.30983074  1.02754009  0.10439566 -1.54616611 -1.86204952 -1.6703328
 -0.98376075]"
50,7_obj1_f07,1,7,0.7,0.8110758662223816,0.32503616051481865,4.1392787565546625,[0.48339373 0.11912089 0.23017177],[0.50357187 0.11142952 0.21117988],[-0.00251546 -0.00672915 -0.70833325  0.7058416 ],[-0.69964176 -0.00683698  0.0162957   0.71427524],[0.48456997 0.21964134 0.28881261],[0.38832983 0.53009993 0.2874676 ],"[-0.315468    0.99508902  0.13269599 -1.66164766 -1.85303441 -1.62032773
 -1.0570969 ]"
51,7_obj1_f07,5,7,0.7,0.7931371927261353,3.697999890760552e-05,4.14812576766505,[0.46025464 0.16002452 0.2297647 ],[0.47152436 0.12148027 0.21805593],[ 4.21781515e-05 -5.98103646e-03 -7.13405728e-01  7.00725675e-01],[-0.69737142 -0.00111149  0.01090673  0.71662605],[0.45922202 0.2613214  0.29111001],[0.45924255 0.2613492  0.29109687],"[-0.33698059  0.94404473  0.15811058 -1.78413225 -1.84796259 -1.58587026
 -1.12212642]"
52,7_obj1_f07,7,7,0.7,0.6729596257209778,0.0024336258593824233,4.178083374688405,[0.49578828 0.14606988 0.22991756],[ 0.51232725 -0.00825189  0.22087592],[ 0.00093479 -0.00653023 -0.71810126  0.69590735],[-0.69499213 -0.03237593  0.02548619  0.71783578],[0.49360886 0.24916579 0.29257768],[0.49482185 0.24746652 0.29132721],"[-0.46546202  1.05359217  0.08042943 -1.46858563 -2.01011059 -1.83205908
 -0.99209345]"
53,7_obj1_f07,2,7,0.7,0.8241543769836426,0.36426458957896257,4.154610590752786,[0.47752103 0.15383992 0.22983152],[0.49428791 0.14223714 0.21892224],[-0.00085189 -0.0071076  -0.70482796  0.70934218],[-0.70093888 -0.00778524  0.00940946  0.71311682],[0.47639954 0.25645113 0.29152179],[0.40062672 0.61272115 0.28718048],"[-0.29742252  0.9609942   0.1668454  -1.72006302 -1.82500216 -1.5669434
 -1.08465696]"
