Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
15,6_obj2_f06,3,7,0.6,0.9166593551635742,0.4462692568385387,4.181154530324288,[0.4558658  0.15774257 0.22842577],[ 0.44899198 -0.16744174  0.21966164],[-0.00233011 -0.00130361  0.00640628  0.99997592],[0.70157707 0.00745552 0.0237127  0.71215987],[0.4851062  0.26882926 0.32938573],[0.48115525 0.71505004 0.32412738],"[ 0.20931641  0.88596283 -0.05284845 -1.9149599   1.70233595 -1.59138067
  1.24988749]"
38,6_obj2_f07,4,7,0.7,0.9388459324836731,0.418478746432432,4.170438664741019,[0.47975186 0.06401215 0.20911801],[ 0.50844204 -0.25949207  0.19364579],[-0.00162229 -0.0010111   0.00893158  0.99995828],[ 0.70961672  0.00626464 -0.01082314  0.70447689],[0.5090127  0.17565322 0.33040872],[0.47429252 0.59266353 0.32578555],"[ 0.01918872  1.00057492 -0.07227464 -1.6953745   1.58578706 -1.50324545
  1.10082907]"
39,6_obj2_f07,3,7,0.7,0.9433991312980652,0.42568185562435085,4.16649783507318,[0.48168251 0.07705124 0.20881972],[ 0.49729565 -0.24341992  0.19139941],[-1.24374963e-03 -3.27039394e-04  8.54445715e-03  9.99962687e-01],[0.71258557 0.00365252 0.00326943 0.70156813],[0.51112998 0.18782286 0.3297244 ],[0.49327025 0.61309141 0.32400283],"[ 0.02854343  0.98564084 -0.05525429 -1.74137936  1.58397533 -1.50938281
  1.15466803]"
