Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
0,7_obj3_f07,4,7,0.7,0.7242059111595154,9.744535948728945e-05,4.144278159321446,[0.48175776 0.25454953 0.20734237],[0.49343213 0.11833654 0.21132548],[-0.00135569  0.00346045  0.76344961  0.64585674],[-0.69614881 -0.00189989  0.01624134  0.71771127],[0.48088956 0.30557415 0.25867364],[0.4809702  0.30562657 0.25868925],"[-0.35023298  0.99137379  0.17527354 -1.69764264 -1.87028767 -1.59396016
 -1.0702856 ]"
1,7_obj3_f07,7,7,0.7,0.7016685605049133,0.0022117331200564405,4.149461803653369,[0.51207846 0.27104169 0.20716758],[0.53639776 0.10184652 0.19274169],[-5.41539688e-04  3.83101986e-03  7.35470414e-01  6.77545786e-01],[-0.69369477 -0.01516771  0.01025304  0.72003639],[0.51208097 0.32109344 0.25702006],[0.51106727 0.32221058 0.25863752],"[-0.32931793  1.08926532  0.1533656  -1.52246431 -1.8715207  -1.63685955
 -1.02571087]"
2,7_obj3_f07,6,7,0.7,0.004427073057740927,0.00011463721211963741,4.361356492565162,[0.49953282 0.26266649 0.20721282],[ 0.49691045 -0.08583467  0.2083571 ],[6.58899899e-06 4.26712586e-03 7.33294487e-01 6.79897785e-01],[-0.69801599  0.00433097 -0.00879149  0.7160151 ],[0.49956778 0.31274417 0.25724116],[0.49956396 0.31281242 0.25714913],"[-0.5622471   1.08180268 -0.01319673 -1.4394071  -2.01430277 -1.90992023
 -1.02965974]"
3,7_obj3_f07,9,7,0.7,0.5226889848709106,0.0005067745915640148,4.178162452769186,[0.49415806 0.26914701 0.20709901],[ 0.49793079 -0.00709812  0.214699  ],[-0.00187721  0.00370264  0.74503464  0.66701281],[-0.69643641 -0.01331793  0.02226463  0.71714938],[0.49315    0.32063106 0.25854042],[0.49316397 0.32012904 0.25847259],"[-0.4794306   1.03784634  0.07397802 -1.53316844 -2.00774682 -1.80752593
 -1.01628516]"
4,7_obj3_f07,1,7,0.7,0.550881028175354,0.0021942844447923313,4.16205251518809,[0.47571379 0.25439489 0.20715727],[ 0.47305793 -0.00471061  0.20817186],[-0.00132906  0.0025891   0.78050709  0.62514013],[-0.69613671 -0.01994752  0.01803508  0.71740538],[0.47463688 0.30549765 0.25847104],[0.47348598 0.30695736 0.25963703],"[-0.48441298  1.02188521  0.05880431 -1.60617592 -2.02918248 -1.80148079
 -1.09633056]"
5,7_obj3_f07,5,7,0.7,0.7300337553024292,0.0001740774493287801,4.142884843692809,[0.48305029 0.2482527  0.20735638],[0.50534564 0.11727088 0.19147198],[-0.0009188   0.0038897   0.75142413  0.65980738],[-0.69671309 -0.01385292  0.00947679  0.71715349],[0.48227954 0.29941228 0.25867829],[0.48222491 0.29956964 0.25872886],"[-0.32825259  1.04737805  0.16342258 -1.6400081  -1.86822878 -1.59565988
 -1.0950042 ]"
6,7_obj3_f07,10,7,0.7,0.5049265623092651,0.00019721617428783913,4.174450573973344,[0.49298975 0.27121887 0.20711739],[ 0.48924825 -0.00705634  0.21543722],[-0.00199383  0.00361551  0.73579848  0.67718798],[-0.69744718 -0.01468264  0.02032159  0.71619755],[0.49187115 0.32290384 0.25849894],[0.49184775 0.32270813 0.25850555],"[-0.4836666   1.02419625  0.06891277 -1.56197678 -2.01648831 -1.80401096
 -1.03821911]"
7,7_obj3_f07,3,7,0.7,0.5397462248802185,0.0027974179908279067,4.173709352911726,[0.48725861 0.25907975 0.20730768],[ 0.486763   -0.00561428  0.21125437],[-0.00303273  0.00289917  0.76153797  0.64810669],[-0.69344562 -0.01733918  0.01116618  0.72021377],[0.48483202 0.31224111 0.2598123 ],[0.4862743  0.31013435 0.25866908],"[-0.48328766  1.03208379  0.06689498 -1.57360908 -2.00627152 -1.80353291
 -1.07255673]"
8,7_obj3_f07,8,7,0.7,0.5304009318351746,0.0012259171345803531,4.178633081286904,[0.50319111 0.26925206 0.20719351],[ 0.50561959 -0.00305922  0.21208186],[-0.00211949  0.00292176  0.7394169   0.67323816],[-0.69647241 -0.01495544  0.02013979  0.71714497],[0.50212419 0.3208088  0.25861165],[0.5014739  0.32176059 0.25819442],"[-0.47179515  1.05093257  0.07418625 -1.51039146 -1.99953705 -1.80634297
 -1.01086775]"
9,7_obj3_f07,2,7,0.7,0.5376895070075989,0.0002611208637256392,4.177634715281687,[0.48883474 0.25812605 0.20732771],[ 0.49086937 -0.00762362  0.21265139],[-0.00214448  0.00422669  0.76143843  0.64821988],[-0.69327712 -0.0119126   0.01689689  0.72037452],[0.48779693 0.30951241 0.25859287],[0.48783898 0.30928141 0.25870714],"[-0.48476292  1.03551703  0.06945769 -1.55846618 -2.00477359 -1.80773518
 -1.04306188]"
