Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
0,6_obj1_f11,3,7,1.1,0.958622395992279,0.7265467941864818,4.1766539823523265,[0.48013231 0.1121041  0.23002103],[ 0.48809293 -0.24250872  0.20335324],[ 0.00198129 -0.00758891 -0.70021522  0.7138887 ],[ 0.72282541 -0.00177245  0.00188416  0.69102591],[0.50959843 0.2132635  0.29131651],[0.48383021 0.93931955 0.2843273 ],"[-0.00895869  0.93330357 -0.00643924 -1.77988013  1.57917416 -1.51907002
  1.14668306]"
1,6_obj1_f11,6,7,1.1,0.9821988344192505,0.7225619792385126,4.1793383119222955,[0.46272686 0.11154827 0.2299363 ],[ 0.4665463  -0.24325198  0.20186828],[ 0.00137169 -0.00747273 -0.69943428  0.71465653],[0.71980155 0.00473914 0.00937769 0.69410038],[0.50256348 0.20738457 0.29153594],[0.53199726 0.92931294 0.28454378],"[ 0.00422534  0.9159805  -0.0244809  -1.85634841  1.5623974  -1.50716573
  1.20843507]"
2,6_obj1_f11,1,7,1.1,0.00028600310906767845,2.326866777694712e-05,4.873618845617612,[0.53322971 0.08146096 0.230762  ],[ 0.54722136 -0.58473372  0.23441447],[-0.00143644 -0.0062711  -0.70332074  0.7108435 ],[ 0.69619125 -0.00793206 -0.00585973  0.71778864],[0.56323457 0.18150474 0.2907396 ],[0.56321198 0.1815096  0.29073685],"[-0.43152096  1.16758954 -0.24785882 -1.17851933  1.32202223 -1.08322575
  0.89690508]"
3,6_obj1_f11,5,7,1.1,0.9754297137260437,0.763725057464468,4.180124234822189,[0.46272686 0.11154827 0.2299363 ],[ 0.4788411  -0.23995481  0.20303166],[ 0.00128249 -0.00868282 -0.69780654  0.71623248],[ 0.72039479  0.0020228  -0.00514886  0.69354218],[0.49166501 0.2135478  0.29163384],[0.43922567 0.97542828 0.28362116],"[ 0.00847956  0.92729288 -0.00840016 -1.80626825  1.5939486  -1.53128404
  1.15120201]"
4,6_obj1_f11,7,7,1.1,0.03898199275135994,0.00013337144957805907,4.777954085440606,[0.47521171 0.10259875 0.23000824],[ 0.4823637  -0.55882776  0.22810072],[ 0.00076745 -0.00698842 -0.701823    0.71231669],[ 6.97600245e-01 -1.08119697e-04  1.63506146e-03  7.16485322e-01],[0.50523472 0.20271726 0.28997388],[0.5051648  0.20282908 0.28999379],"[-0.37539967  1.07000301 -0.32767388 -1.46561732  1.23715992 -1.07262672
  1.11625499]"
5,6_obj1_f11,2,7,1.1,0.002548622665926814,8.105198403376596e-05,4.763287639730083,[0.47620943 0.13131279 0.22973257],[ 0.47746271 -0.52722704  0.23431398],[ 3.30562558e-04 -6.59805955e-03 -7.12952435e-01  7.01181293e-01],[0.70889693 0.00761975 0.0057839  0.70524716],[0.50616378 0.23138897 0.2896857 ],[0.50620073 0.2314585  0.28966647],"[-0.29648685  1.01589561 -0.36970561 -1.56307429  1.26828803 -1.04391222
  1.13785955]"
6,6_obj1_f11,4,7,1.1,0.0006740650860592723,1.2323296343924845e-05,4.803326469038633,[0.49029556 0.10188865 0.23041663],[ 0.49242157 -0.5576179   0.23391414],[ 1.40346514e-04 -5.50868502e-03 -6.92553341e-01  7.21345603e-01],[0.70549875 0.00384547 0.00476181 0.70868474],[0.52028567 0.20187598 0.29043859],[0.52028799 0.20186482 0.29043391],"[-0.36590182  1.0571709  -0.33300967 -1.45212548  1.2576492  -1.0396816
  1.08371273]"
