Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
0,6_obj1_f06,14,7,0.6,0.7305458784103394,0.4274935974682862,4.175261935083439,[0.4834955  0.09823666 0.23042995],[ 0.50924683 -0.25617012  0.22895323],[-4.72075975e-04 -6.82521751e-03 -7.06917107e-01  7.07263350e-01],[0.6997748  0.00148595 0.00618164 0.71433526],[0.51297235 0.19907714 0.29142314],[0.49466309 0.62615907 0.28735206],"[ 0.08146594  0.93816683 -0.14981204 -1.72747317  1.59956163 -1.47335535
  1.09641295]"
1,6_obj1_f06,11,7,0.6,0.7276415228843689,0.4325338149231573,4.179543940573863,[0.46114728 0.09982658 0.2302832 ],[ 0.49193519 -0.25391963  0.22601423],[ 4.67850114e-05 -7.06337579e-03 -7.09395051e-01  7.04775631e-01],[0.69921398 0.0061976  0.00194822 0.71488291],[0.49044573 0.20113716 0.29166007],[0.46646634 0.63298172 0.28710335],"[ 0.08903045  0.92516874 -0.15153393 -1.78138696  1.59926461 -1.47499587
  1.12450181]"
2,6_obj1_f06,3,7,0.6,0.0009516160353086889,4.1393304284530964e-05,5.037320715523324,[0.46551171 0.03520752 0.23116574],[ 0.46949571 -0.62452751  0.23220497],[-0.00101147 -0.00515007 -0.70925266  0.70493484],[ 0.69815433 -0.0058661   0.01103849  0.71583813],[0.49549708 0.13519414 0.2911981 ],[0.4954631  0.13521317 0.29121214],"[-0.48141824  1.10794231 -0.34478232 -1.36070777  1.17302121 -0.98389696
  1.13065302]"
3,6_obj1_f06,6,7,0.6,0.73516446352005,0.3734248011338834,4.179037193562443,[0.50477356 0.08824969 0.23027149],[ 0.52263057 -0.26151848  0.24125805],[ 0.00071997 -0.00805065 -0.70528454  0.70887828],[0.6993435  0.00133428 0.00560215 0.71476257],[0.53417993 0.18984389 0.29163277],[0.52272075 0.56306332 0.28693956],"[ 0.07554765  0.93116756 -0.16700503 -1.68917812  1.59704801 -1.45648276
  1.05037105]"
4,6_obj1_f06,1,7,0.6,0.00016810325905680656,6.381893177120134e-05,5.017688492498164,[0.48405185 0.04881827 0.23107934],[ 0.48604116 -0.62137651  0.23706459],[-4.84841235e-04 -5.98456990e-03 -7.07730055e-01  7.06457436e-01],[0.70399797 0.0203321  0.02400277 0.70950496],[0.51404434 0.14883147 0.29109675],[0.51405215 0.14888379 0.29106104],"[-0.48071698  1.09035366 -0.33441716 -1.36271519  1.12617449 -0.94626217
  1.120899  ]"
5,6_obj1_f06,5,7,0.6,0.6621149778366089,5.1130059772037844e-05,4.187151560044526,[0.48572269 0.16938093 0.22951004],[ 0.53107202 -0.27811465  0.21808562],[ 0.00123141 -0.00639848 -0.70676744  0.70741594],[ 0.70149636 -0.00675993 -0.01016841  0.7125684 ],[0.51505798 0.27026987 0.29076266],[0.51507694 0.27026328 0.29071563],"[ 0.01744969  0.99693507 -0.13340785 -1.61658038  1.59143527 -1.47116098
  1.03584713]"
6,6_obj1_f06,13,7,0.6,0.0005656065186485648,0.004927803562666448,4.995999187345398,[0.46941161 0.05947027 0.23095462],[ 0.47462919 -0.60773438  0.2334806 ],[-5.60953922e-04 -5.65942703e-03 -7.11164713e-01  7.03002453e-01],[0.70702487 0.00710334 0.00367962 0.70714343],[0.4994024  0.15948242 0.29094464],[0.50048351 0.15491186 0.28945318],"[-0.44713353  1.08256518 -0.35250363 -1.39729094  1.19729655 -0.96951996
  1.09679099]"
7,6_obj1_f06,7,7,0.6,0.7527444362640381,0.4519454755730265,4.170125352572947,[0.49526575 0.20236579 0.22958189],[ 0.51542503 -0.15049765  0.22362679],[ 4.67200043e-05 -7.06593413e-03 -7.04263747e-01  7.09903300e-01],[0.70213455 0.00579729 0.00888315 0.71196532],[0.52523488 0.30366546 0.28980738],[0.50042528 0.75490695 0.28530055],"[ 0.20147555  0.95124054 -0.03998728 -1.69085765  1.71669094 -1.63045925
  1.07707592]"
8,6_obj1_f06,2,7,0.6,0.7205625772476196,0.3355037783144979,4.184723859359719,[0.50038654 0.08343758 0.2305581 ],[ 0.54921991 -0.26695019  0.23800296],[-0.00109502 -0.00734479 -0.71198016  0.7021603 ],[ 0.7012158   0.00219365 -0.01493413  0.71278924],[0.52978921 0.18487    0.29171586],[0.52242595 0.52027637 0.2883783 ],"[ 0.0470436   0.97708506 -0.14640235 -1.57699217  1.61399514 -1.47404564
  0.9530489 ]"
9,6_obj1_f06,12,7,0.6,0.743480384349823,0.38322072421841813,4.16008986094985,[0.48358074 0.15232295 0.22978553],[ 0.49797195 -0.20226881  0.23949343],[-0.00144602 -0.00645593 -0.70407975  0.7100901 ],[0.70163631 0.00203234 0.01016236 0.71245986],[0.51321465 0.25327206 0.29026943],[0.49920633 0.63622403 0.28715888],"[ 0.16196314  0.89431649 -0.11223526 -1.7733368   1.66881454 -1.5413545
  1.09950554]"
