Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
0,7_obj2_f08,7,7,0.8,0.5937631130218506,6.341528750711713e-05,4.204785742458623,[0.48910904 0.25221944 0.22698408],[ 0.48222545 -0.02710183  0.24084139],[ 2.41164482e-04 -1.72737392e-03 -8.77524912e-03  9.99960005e-01],[-0.68854666 -0.00967828  0.01532937  0.72496545],[0.48785746 0.36354631 0.32845238],[0.48786497 0.36359534 0.32841286],"[-0.52789744  0.98263861  0.07662576 -1.58073958 -2.0216746  -1.84362943
 -1.01595182]"
1,7_obj2_f08,5,7,0.8,1.0935081243515015,0.5927019058761059,4.4656827003870125,[0.47157982 0.24917527 0.22643045],[0.4604513  0.26454166 0.23168077],[-1.50594831e-04 -6.10469840e-04  1.35907000e-02  9.99907434e-01],[-0.69644874  0.00324984 -0.00659993  0.71756887],[0.47045553 0.36021474 0.32741386],[0.50122559 0.95209628 0.32241476],"[-0.24130734  0.93057147  0.4113264  -1.88005494 -1.65336658 -1.28007347
 -1.19669958]"
2,7_obj2_f08,6,7,0.8,0.5982358455657959,0.00015376530690906431,4.2016653176364995,[0.48350209 0.251728   0.22690654],[ 0.47571859 -0.02618259  0.2411733 ],[ 9.14402262e-05 -2.52866047e-03  8.65486544e-03  9.99959350e-01],[-0.68951386 -0.01063686  0.01585154  0.72402084],[0.48218063 0.36309314 0.32839435],[0.48224396 0.36303005 0.32826924],"[-0.53013657  0.97294661  0.0662621  -1.59745877 -2.02840034 -1.84886809
 -1.02907299]"
3,7_obj2_f08,1,7,0.8,1.0966218709945679,0.5666558911825695,4.496280070931342,[0.46917614 0.25244164 0.22597221],[0.45758271 0.27277908 0.23110223],[-9.93951573e-04 -6.09008071e-04  5.65550232e-04  9.99999166e-01],[-0.69712436  0.00440521 -0.00834782  0.71688813],[0.46787545 0.365143   0.32712892],[0.4791232  0.93166113 0.32168853],"[-0.23226974  0.93079749  0.42163212 -1.88896515 -1.63540185 -1.26246379
 -1.21110534]"
4,7_obj2_f08,4,7,0.8,0.15734368562698364,5.02280193295359e-05,4.418569314014555,[0.49120268 0.24351455 0.22696838],[ 0.48680437 -0.09298912  0.24016325],[-1.39170454e-03 -5.00460272e-04 -2.48193205e-03  9.99995828e-01],[-0.70434296  0.00333463 -0.0029726   0.70984578],[0.49118477 0.35374978 0.32694155],[0.4911401  0.35376951 0.32692981],"[-0.56140036  1.00545346 -0.03446537 -1.47948792 -2.022625   -1.94224474
 -1.00379682]"
5,7_obj2_f08,3,7,0.8,0.4080592691898346,4.612011216985363e-05,4.309691685178982,[0.47618616 0.24244986 0.22710121],[ 0.46860996 -0.06619941  0.24643186],[-9.99697833e-04 -1.21910870e-03 -5.53507730e-03  9.99983430e-01],[-0.69040698 -0.00666157  0.00893561  0.72333533],[0.47616267 0.35290131 0.32695565],[0.47612342 0.35292447 0.32696274],"[-5.54383353e-01  9.75029707e-01 -1.74532260e-03 -1.56307693e+00
 -2.03834984e+00 -1.92963069e+00 -1.03680186e+00]"
6,7_obj2_f08,2,7,0.8,0.0009198961197398603,1.02722514072648e-05,4.406674303893239,[0.49091905 0.25118041 0.22701773],[ 0.48503181 -0.09117533  0.2332301 ],[-6.74168870e-04 -1.01863290e-03 -5.77800721e-03  9.99982536e-01],[-0.70643955  0.00564873 -0.00682211  0.70771796],[0.49091214 0.36118081 0.32702234],[0.4909094  0.36119011 0.32701895],"[-0.56242093  1.01054064 -0.04028485 -1.48764528 -2.02393876 -1.92458047
 -1.02043662]"
7,7_obj2_f08,10,7,0.8,0.5270512700080872,0.002422778959921993,4.205564398677459,[0.49235067 0.26727539 0.22689277],[ 0.48063293 -0.02431747  0.24333212],[ 2.49798992e-04 -2.74727843e-03 -1.02067110e-03  9.99995649e-01],[-0.68931437 -0.01137738  0.01186354  0.72427583],[0.48952132 0.38019574 0.32947862],[0.49102005 0.37871218 0.32828584],"[-0.52495723  0.9723574   0.06728837 -1.5895807  -2.0171531  -1.84738529
 -1.02610138]"
8,7_obj2_f08,8,7,0.8,0.642045259475708,0.00016153603500091777,4.176350651614457,[0.48237014 0.24962147 0.22701964],[ 0.47308254 -0.01635855  0.23105189],[-7.87115481e-04 -2.12947256e-03 -3.56327859e-03  9.99991059e-01],[-0.68791687 -0.01589311  0.01087445  0.72553396],[0.48105055 0.36105409 0.32845372],[0.48111796 0.36090893 0.3284319 ],"[-0.52615062  0.98793402  0.07961294 -1.61272637 -2.02994161 -1.82595743
 -1.06625417]"
9,7_obj2_f08,9,7,0.8,0.0012206417741253972,4.955800939530667e-05,4.426800094302795,[0.46941698 0.24539031 0.22617438],[ 0.46519601 -0.09346806  0.23744769],[ 2.96720886e-04 -3.94011789e-04  1.45564647e-02  9.99893904e-01],[-0.71394253  0.0045487  -0.01219385  0.70008332],[0.46943152 0.35530129 0.32617125],[0.46944252 0.3553488  0.3261801 ],"[-0.56516041  0.96896988 -0.06942426 -1.55158028 -2.04527183 -1.92058415
 -1.06796791]"
