Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
0,7_obj1_f06,11,7,0.6,0.6483443379402161,7.363512197641606e-05,4.17368521248435,[0.46840543 0.08913992 0.23060116],[ 0.48748392 -0.00249206  0.20858885],[-6.66482083e-05 -6.52443012e-03 -7.03921497e-01  7.10247815e-01],[-0.6948961  -0.02737445  0.01944483  0.71832579],[0.4675225  0.19049372 0.2919378 ],[0.46748382 0.19054611 0.29190344],"[-0.45156529  1.03890988  0.040129   -1.55907222 -2.00308688 -1.82093221
 -1.07479622]"
1,7_obj1_f06,3,7,0.6,0.6839464902877808,0.004729266788520957,4.166226239040268,[0.52487373 0.12009314 0.23033488],[0.54729885 0.05789147 0.22566316],[ 0.00081409 -0.0060337  -0.68858588  0.72512925],[-0.70303702 -0.01522492  0.02118624  0.71067452],[0.52482742 0.22051708 0.29015523],[0.52276546 0.22325172 0.29341653],"[-0.3506281   1.03872191  0.09196964 -1.46378001 -1.89614253 -1.72743764
 -0.93056314]"
2,7_obj1_f06,6,7,0.6,0.5694435238838196,1.4115175574840592e-05,4.335243301641787,[0.500359   0.097805   0.23050514],[ 0.51012439 -0.08874385  0.22000019],[-0.00071547 -0.00574633 -0.70120215  0.71293896],[-0.68925905 -0.02574388  0.00728185  0.72402084],[0.50036573 0.19821678 0.29043397],[0.5003593  0.19822934 0.29043391],"[-0.56767907  1.10721403  0.04266013 -1.35418224 -2.05174417 -1.94377824
 -0.9850025 ]"
3,7_obj1_f06,1,7,0.6,0.6101095676422119,6.65970153949495e-05,4.161735041887509,[0.45393637 0.12463056 0.23032942],[ 0.45673481 -0.00789751  0.21318345],[-5.20844420e-04 -6.08852040e-03 -7.28115678e-01  6.85427010e-01],[-0.69287062 -0.02550121  0.01903378  0.72035944],[0.45302081 0.22584368 0.2916663 ],[0.45300752 0.22584046 0.29173148],"[-0.4896804   1.00081455  0.03569555 -1.64558424 -2.04284718 -1.82592346
 -1.12787495]"
4,7_obj1_f06,5,7,0.6,0.2561188340187073,9.03811540496898e-05,4.722516263436282,[0.49078944 0.12512043 0.23022777],[ 0.49880308 -0.18477733  0.23211887],[-0.0009246  -0.00549353 -0.70978791  0.70439345],[-0.72019738  0.02205394 -0.026452    0.69291389],[0.49088529 0.22550422 0.29019883],[0.49081129 0.22553746 0.29023868],"[-0.69048903  1.0909494  -0.02820637 -1.27060557 -2.06502001 -1.99016504
 -0.92488741]"
5,7_obj1_f06,7,7,0.6,0.6131464838981628,0.0013561538799345561,4.188176174734342,[0.49950722 0.12632579 0.23020834],[ 0.5135603  -0.00728201  0.21975367],[ 2.76416133e-04 -6.52189925e-03 -7.17498541e-01  6.96529388e-01],[-0.69651115 -0.0313026   0.02167805  0.71653497],[0.49857211 0.22778712 0.29163605],[0.49818283 0.22898753 0.29113942],"[-0.45506954  1.05239321  0.06489853 -1.47055703 -1.99715775 -1.83195062
 -0.9981743 ]"
6,7_obj1_f06,2,7,0.6,0.7277100682258606,0.30853085293187205,4.14581608969595,[0.50042868 0.10384447 0.23055089],[0.53272337 0.09713993 0.21448661],[-0.00123499 -0.00663734 -0.68712234  0.72651035],[-0.70190024 -0.00994544  0.02081478  0.71190161],[0.50062424 0.20440574 0.29035527],[0.48356479 0.5124613  0.28892994],"[-0.30983074  1.02754009  0.10439566 -1.54616611 -1.86204952 -1.6703328
 -0.98376075]"
7,7_obj1_f06,12,7,0.6,0.629453718662262,0.0011146260824209315,4.191387318349843,[0.48632845 0.11530449 0.23030329],[ 0.50941712 -0.0082699   0.2179126 ],[ 0.00078458 -0.00656615 -0.7106095   0.70355552],[-0.6965102  -0.0288799   0.02157454  0.71664077],[0.48534915 0.21679369 0.29157546],[0.48505607 0.21779591 0.29118553],"[-0.45322331  1.04988096  0.0548056  -1.48419269 -1.99498104 -1.83381741
 -1.01170509]"
8,7_obj1_f06,8,7,0.6,0.6988781690597534,0.002951114858497107,4.149081860217409,[0.50322294 0.14684978 0.23008555],[0.5350253  0.0972129  0.22069824],[-0.00134044 -0.00538766 -0.71211618  0.70203966],[-0.69868934 -0.00442284  0.01840629  0.71517473],[0.50360101 0.24645865 0.28944945],[0.50226325 0.24816267 0.29145339],"[-0.32145005  1.01982506  0.12020058 -1.5505935  -1.85606901 -1.6633798
 -0.97132005]"
9,7_obj1_f06,9,7,0.6,0.6268364191055298,5.036571542496006e-05,4.181231380090148,[0.48550451 0.12703562 0.23026139],[ 0.50300509 -0.00330628  0.21405847],[ 0.00082084 -0.00651518 -0.71476829  0.69933051],[-0.69442803 -0.02429764  0.01984113  0.71887809],[0.48453489 0.22846329 0.29151013],[0.48453432 0.22851284 0.29151917],"[-0.45913213  1.04844753  0.05696659 -1.51116708 -1.99598004 -1.8254834
 -1.0288653 ]"
10,7_obj1_f06,4,7,0.6,0.7295718193054199,0.28714108678718403,4.147145256113265,[0.50726777 0.11579116 0.23025346],[0.53644723 0.10747201 0.215082  ],[ 6.19427883e-04 -6.64164266e-03 -6.98509574e-01  7.15569615e-01],[-0.70213956 -0.00903206  0.01946537  0.71171588],[0.50636786 0.21755069 0.29182211],[0.44360128 0.49772608 0.28834188],"[-0.29771817  1.02741635  0.11465691 -1.54463279 -1.84958631 -1.65184798
 -0.97907301]"
11,7_obj1_f06,10,7,0.6,0.7048190832138062,3.270954229686027e-05,4.150877262648344,[0.51102853 0.12934294 0.23022422],[0.54283571 0.09625119 0.21535723],[ 3.52801202e-04 -6.32197969e-03 -7.08903849e-01  7.05276728e-01],[-0.6997782  -0.01056964  0.01911563  0.71402615],[0.5101195  0.23066843 0.29165599],[0.51012009 0.23064663 0.29163161],"[-0.31456032  1.04286473  0.11654521 -1.51176293 -1.86077814 -1.6705626
 -0.9654313 ]"
